model,series,ubatch,batch,ctk,ctv,flash_attn,n_cpu_moe,n_depth,n_prompt,n_gen,avg_ts,avg_ns,status
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,0,2048,0,2083.726652,982863070,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,2048,2048,0,1811.132468,1131311042,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,6144,2048,0,1651.849916,1239856222,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,14336,2048,0,1370.078359,1495222321,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,22528,2048,0,1186.703593,1725789977,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,30720,2048,0,1035.212125,1978376301,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,47104,2048,0,828.161245,2472950599,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,63488,2048,0,682.803935,2999553656,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,96256,2048,0,510.988384,4007919165,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,prefill,2048,2048,f16,f16,auto,30,129024,2048,0,399.853885,5125230265,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,0,0,128,20.079387,6376536288,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,2048,0,128,22.109862,5813305444,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,6144,0,128,23.943605,5363375780,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,14336,0,128,21.459126,5988534039,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,22528,0,128,17.21314,7518087493,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,30720,0,128,23.197667,5529722712,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,47104,0,128,23.570657,5430876975,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,63488,0,128,20.320173,6314676869,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,96256,0,128,18.586002,6917550876,partial
gemma-4-26B-A4B-it-UD-Q6_K_XL.gguf,generation,2048,2048,f16,f16,auto,30,129024,0,128,18.11365,7129736497,partial
