model,series,ubatch,batch,ctk,ctv,flash_attn,n_depth,n_prompt,n_gen,avg_ts,avg_ns,status
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,0,2048,0,3338.097744,613523741,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,2048,2048,0,3028.446188,676257289,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,6144,2048,0,2554.540981,801711081,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,14336,2048,0,1945.760974,1052545839,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,22528,2048,0,1570.331001,1304185362,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,30720,2048,0,1310.662242,1562573494,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,47104,2048,0,984.82918,2079548856,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,63488,2048,0,794.64178,2577263623,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,96256,2048,0,570.933629,3587107721,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,prefill,2048,4096,f16,f16,1,129024,2048,0,442.712062,4626164789,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,0,0,128,74.459028,1719117656,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,2048,0,128,74.491296,1718323983,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,6144,0,128,73.001801,1753387282,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,14336,0,128,70.71306,1810137045,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,22528,0,128,69.005425,1854930337,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,30720,0,128,66.920803,1912718570,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,47104,0,128,63.409205,2018637734,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,63488,0,128,60.175281,2127128779,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,96256,0,128,54.557289,2346218741,partial
Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,generation,2048,4096,f16,f16,1,129024,0,128,49.757525,2572631814,partial
